,name,date_creation,address,address_number,neighborhood,district,zip_code,town,coord_lat,coord_lon,phone,schedule,enum
0,Mercat setmanal de  Provençals,1998-07-06,C Menorca,19,Sant Martí de Provençals,Sant Martí,72,Barcelona,41.41945851885895,2.196486723230617,932916000,,Mercats i fires al carrer
1,Mercat Gòtic Antiguitats *Plaça Nova,1996-04-01,Plaça Nova,1,el Barri Gòtic,Ciutat Vella,2,Barcelona,41.38380774184101,2.175348328058645,,https://ajuntament.barcelona.cat/jovesbarcelona/caaj/es/detail/mercat-gotic-antiguitats-placa-nova_96092125659,Mercats i fires al carrer
2,Fira del Col·lectiu d'Artesans d'Alimentació *Plaça del Pi,1996-04-01,Pl Pi,1,el Barri Gòtic,Ciutat Vella,2,Barcelona,41.38232671678743,2.173576130337292,-,https://guia.barcelona.cat/es/detall/fira-del-collectiu-d-artesans-d-alimentacio-placa-del-pi_99400686952.html,Mercats i fires al carrer
3,Mostra d'Art *Plaça de Sarrià,1996-04-02,Pl Sarrià,1,Sarrià,Sarrià-Sant Gervasi,23,Barcelona,41.40014532869134,2.122383312823837,,https://guia.barcelona.cat/es/detall/mostra-d-art-placa-de-sarria_99400159418.html,Mercats i fires al carrer
4,Fira d'Artesania Rosa de Maig,1997-12-19,Pl Comerç,1,Sant Andreu,Sant Andreu,60,Barcelona,41.435566198303874,2.1898445895770275,-,https://ajuntament.barcelona.cat/jovesbarcelona/caaj/es/detail/fira-d-artesania-rosa-de-maig_99400478617.html,Mercats i fires al carrer
5,Petit Mercat de Zona Nord,1996-02-27,Carrer de Vallcivera,1,Ciutat Meridiana,Nou Barris,55,Barcelona,41.46167203732213,2.179514177423853,-,https://ajuntament.barcelona.cat/es/detall/petit-mercat-zona-nord_99400256451.html,Mercats i fires al carrer
6,Petit Mercat de Trinitat Nova,1996-02-27,Chafarinas,21,la Trinitat Nova,Nou Barris,53,Barcelona,41.44842866071174,2.1834930021235444,,https://ajuntament.barcelona.cat/es/detall/petit-mercat-trinitat-nova_99400256452.html,Mercats i fires al carrer
7,Mercat del Vell *Estació de Sants,1997-10-21,Pl Països Catalans,1,Sants,Sants-Montjuïc,18,Barcelona,41.3790331168898,2.140432438175691,934956401,https://ajuntament.barcelona.cat/jovesbarcelona/caaj/es/detail/mercat-del-vell-estacio-de-sants_99400556374.html,Mercats i fires al carrer
8,Petit Mercat de Canyelles,1996-12-18,Carrer d'Antonio Machado,12,Canyelles,Nou Barris,49,Barcelona,41.44281639309551,2.1662470301247665,,https://www.barcelona.cat/casalsdebarri/verdun/es/detail/petit-mercat-de-canyelles_96353173651,Mercats i fires al carrer
9,Fira de Llibre Vell *Plaça de Sarrià,1997-04-04,Pl Sarrià,1,Sarrià,Sarrià-Sant Gervasi,23,Barcelona,41.40014532869134,2.122383312823837,,https://guia.barcelona.cat/ca/detall/fira-del-llibre-vell-a-la-placa-de-sarria_99400322558.html,Mercats i fires al carrer
10,"Mostra de Pintors, Caricaturistes i Retratistes de les Rambles",2003-11-11,C la Rambla,25,el Raval,Ciutat Vella,1,Barcelona,41.37844264033496,2.175434523575812,-,https://guia.barcelona.cat/es/detall/mostra-de-pintors-caricaturistes-i-retratistes_99400686938.html,Mercats i fires al carrer
11,Fira Nova Artesania *Rambles,1995-07-10,C la Rambla,1,el Raval,Ciutat Vella,1,Barcelona,41.37658849300663,2.176296982804121,,https://guia.barcelona.cat/es/detall/fira-d-artesania_99400686927.html,Mercats i fires al carrer
12,Fira d'Embotits Artesanals *Plaça de Sarrià,2008-09-22,Pl Sarrià,1,Sarrià,Sarrià-Sant Gervasi,23,Barcelona,41.40014532869134,2.122383312823837,,https://guia.barcelona.cat/es/detall/fira-d-embotits-artesanals_99400159424.html,Mercats i fires al carrer
13,Fira d'Artesans Plaça Sant Agustí Vell,2003-02-25,Pl Sant Agustí Vell,2,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4,Barcelona,41.38768762738987,2.180456585655333,-,https://guia.barcelona.cat/es/detall/fira-d-artesans_99400256431.html,Mercats i fires al carrer
14,Fira d'Artesans Nou Barris,1998-04-06,Pg Valldaura,186,la Guineueta,Nou Barris,48,Barcelona,41.4386525560321,2.170245576894085,-,https://guia.barcelona.cat/es/detall/fira-d-artesans-nou-barris_98096114839.html,Mercats i fires al carrer
15,Fira Espai d'Art  *Av Diagonal,2015-03-26,Avinguda Diagonal,593,les Corts,Les Corts,19,Barcelona,41.38880236698144,2.130909070377303,,,Mercats i fires al carrer
16,Mercat Setmanal del Besòs,1998-06-09,C Jaume Huguet,38,el Besòs i el Maresme,Sant Martí,70,Barcelona,41.419232167534055,2.2151291359475485,,https://www.mercatsetmanal.cat,Mercats i fires al carrer
17,Mercat setmanal de la Marina-Zona Franca,1996-02-27,Carrer de la Mare de Déu de Port,115,la Marina del Prat Vermell,Sants-Montjuïc,12,Barcelona,41.35329883597558,2.149626569377951,932914256,https://ajuntament.barcelona.cat/sants-montjuic/es/el-distrito-y-sus-barrios/sants-badal/agenda/mercat-setmanal-de-la-marina-zona-franca_99400322547,Mercats i fires al carrer
18,Mercat de Numismàtica i Filatèlia *Plaça Reial,1996-02-27,Pl Reial,1,el Barri Gòtic,Ciutat Vella,2,Barcelona,41.38005003665084,2.1748931265024765,,https://guia.barcelona.cat/es/detall/mercat-de-numismatica-i-filatelia_99400478611.html,Mercats i fires al carrer
19,Mercat Encants de Sant Antoni,1984-12-28,C Comte d'Urgell,1,Sant Antoni,Eixample,10,Barcelona,41.38130154687466,2.1634511872440987,934132300,https://ajuntament.barcelona.cat/mercats/es/,Mercats i fires al carrer
20,Mercat Encants de Sant Antoni,1984-12-28,C Comte d'Urgell,1,Sant Antoni,Eixample,10,Barcelona,41.38130154687466,2.1634511872440987,934132300,https://ajuntament.barcelona.cat/mercats/es/,Mercats municipals
21,Fira d'Artesans Moll de Dipòsit,2006-07-14,Pl Pau Vila,1,la Barceloneta,Ciutat Vella,3,Barcelona,41.38106553724764,2.1845353246858914,,https://guia.barcelona.cat/es/detall/fira-d-artesans-al-moll-del-diposit-palau-de-mar_99400322607.html,Mercats i fires al carrer
22,Mercat Encants Barcelona - Fira de Bellcaire,1984-12-28,Carrer de los Castillejos,158,el Fort Pienc,Eixample,5,Barcelona,41.401063548775554,2.1856692459565465,934132328,https://encantsbarcelona.com/,Mercats i fires al carrer
23,Mercat Encants Barcelona - Fira de Bellcaire,1984-12-28,Carrer de los Castillejos,158,el Fort Pienc,Eixample,5,Barcelona,41.401063548775554,2.1856692459565465,934132328,https://encantsbarcelona.com/,Mercats municipals
24,Mercat de Pins *Pg Lluís Companys,1995-07-10,Pg Lluís Companys,7,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4,Barcelona,41.390101735411264,2.180986838654812,-,https://guia.barcelona.cat/es/detall/mercat-de-pins-pg-lluis-companys_99400256472.html,Mercats i fires al carrer
25,Mercat de les Flors *Les Rambles,1985-03-22,C la Rambla,116,el Barri Gòtic,Ciutat Vella,2,Barcelona,41.38298645419762,2.1719482422846794,-,https://ajuntament.barcelona.cat/mercats/es/,Mercats i fires al carrer
26,Mercat de les Flors *Les Rambles,1985-03-22,C la Rambla,116,el Barri Gòtic,Ciutat Vella,2,Barcelona,41.38298645419762,2.1719482422846794,-,https://ajuntament.barcelona.cat/mercats/es/,Mercats municipals
27,Fira del Llibre i Filatèlia de Nou Barris,2000-09-22,Pg Valldaura,186,la Guineueta,Nou Barris,48,Barcelona,41.4386525560321,2.170245576894085,,https://guia.barcelona.cat/es/detall/fira-del-llibre-i-filatelia-de-nou-barris_99400322524.html,Mercats i fires al carrer
28,Mercat Dominical de Sant Antoni,1996-02-27,C Comte d'Urgell,1,Sant Antoni,Eixample,10,Barcelona,41.37956821941282,2.161743115837759,934132300,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-dominical-de-sant-antoni,Mercats i fires al carrer
29,Mercat Dominical de Sant Antoni,1996-02-27,C Comte d'Urgell,1,Sant Antoni,Eixample,10,Barcelona,41.37956821941282,2.161743115837759,934132300,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-dominical-de-sant-antoni,Mercats municipals
30,Fira Petit Artesà *Plaça Bonanova,2008-09-22,Pl Bonanova,1,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,25,Barcelona,41.40697454323177,2.1335393251566845,,https://guia.barcelona.cat/es/detall/fira-petit-artesa-a-la-placa-bonanova_99400322611.html,Mercats i fires al carrer
31,Fira de Brocanters *Plaça Frederic Soler,2008-09-22,Pl Frederic Soler,1,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,25,Barcelona,41.40531184876666,2.1382352466878727,933171996,https://guia.barcelona.cat/es/detall/fira-de-brocanters-a-la-placa-frederic-soler_99400322609.html,Mercats i fires al carrer
32,Mercat de Pintors de Sant Andreu,2006-01-16,Pl Comerç,1,Sant Andreu,Sant Andreu,60,Barcelona,41.43556620663616,2.1898444937192805,,https://guia.barcelona.cat/es/detall/mercat-de-pintors-de-sant-andreu_99400322600.html,Mercats i fires al carrer
33,Fira del Col·leccionisme de la Zona Nord,2007-02-05,Av Rasos de Peguera,27,Ciutat Meridiana,Nou Barris,55,Barcelona,41.46150548271783,2.1789793052060453,,https://guia.barcelona.cat/es/detall/fira-del-col-leccionisme-de-la-zona-nord_99400321443.html,Mercats i fires al carrer
34,Fira d'Artesans de la Terra *Plaça Concòrdia,2015-03-26,Plaça de la Concòrdia,1,les Corts,Les Corts,19,Barcelona,41.38689170908079,2.1320973475113023,,https://guia.barcelona.cat/en/cursos/detall/fira-d-artesans-de-la-terra-placa-concordia_99400381335.html,Mercats i fires al carrer
35,Fira de Menjar Artesanal  La Dama d'Or *Jardins de Can Bruixa,2015-03-26,Jardins de Can Bruixa,0,les Corts,Les Corts,19,Barcelona,41.38361990095716,2.130549740625037,,,Mercats i fires al carrer
36,Fira Tradicional de Productes Naturals de la Plaça Sagrada Família,1996-04-02,Av Gaudí,2,la Sagrada Família,Eixample,6,Barcelona,41.404939355846366,2.17460180372859,,https://guia.barcelona.cat/es/detall/fira-tradicional-de-productes-naturals-de-la-placa-sagrada-familia_99400300064.html,Mercats i fires al carrer
37,Fira de Brocanters *Plaça de Sarrià,1996-04-02,Pl Sarrià,1,Sarrià,Sarrià-Sant Gervasi,23,Barcelona,41.40014532869134,2.122383312823837,933171996,https://guia.barcelona.cat/en/directoris/detall/fira-de-brocanters-a-la-placa-de-sarria_99400322555.html,Mercats i fires al carrer
38,Mercat d'Art Directe *Jardins de Campoamor,2002-09-10,Av Diagonal,615,les Corts,Les Corts,19,Barcelona,41.38826990315199,2.128782399809756,,https://guia.barcelona.cat/es/,Mercats i fires al carrer
39,Fira Brocanters *Moll de les Drassanes,1997-05-29,Moll Drassanes,1,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4,Barcelona,41.3746514376551,2.1781153021938917,617077703,https://portvellbcn.cat/ca/portfolio-item/mercat-de-brocanteria-mercat-de-colom/,Mercats i fires al carrer
40,Fira de Productes Tradicionals Catalans *Plaça del Pi,2008-03-05,Pl Pi,1,el Barri Gòtic,Ciutat Vella,2,Barcelona,41.38232671678743,2.173576130337292,-,https://guia.barcelona.cat/es/detall/fira-de-productes-tradicionals-catalans_99400686952.html,Mercats i fires al carrer
41,Fira d'Artesans Rambla Poblenou,1997-12-18,Rbla Poblenou,72,el Poblenou,Sant Martí,68,Barcelona,41.40118587252035,2.20134292316812,-,https://guia.barcelona.cat/es/detall/fira-dartesans-a-la-rambla-poblenou_99400478629.html,Mercats i fires al carrer
42,Fira d'Artesans del Clot *Pl Font i Sagué,1997-12-18,Pl Font i Sagué,1,el Clot,Sant Martí,65,Barcelona,41.40806264652577,2.188516672330406,-,https://guia.barcelona.cat/es/,Mercats i fires al carrer
43,Fira d'Artesania Popular Catalana *Plaça Eivissa,1997-12-12,Pl Eivissa,1,Horta,Horta-Guinardó,43,Barcelona,41.429928949592345,2.161224943341931,,https://guia.barcelona.cat/es/,Mercats i fires al carrer
44,Mostra d'Art *Pl Sant Josep Oriol,1996-04-01,Plaça de Sant Josep Oriol,1,el Barri Gòtic,Ciutat Vella,2,Barcelona,41.38253483509873,2.173986553426301,-,https://guia.barcelona.cat/es/detall/mostra-dart_99400159078.html,Mercats i fires al carrer
45,Mostra de Pintors Afeccionats *Pl Sagrada Família,1996-04-02,Pl Sagrada Família,1,la Sagrada Família,Eixample,6,Barcelona,41.40197393230216,2.1728272813678537,-,https://guia.barcelona.cat/es/,Mercats i fires al carrer
46,Fira d'Artesans Placeta de l'Oca,1999-02-26,Placeta de l'Oca,0,el Camp de l'Arpa del Clot,Sant Martí,64,Barcelona,41.408769247898974,2.1850069974259485,-,https://guia.barcelona.cat/es/detall/fira-d-artesans-placeta-de-l-oca_99057091907.html,Mercats i fires al carrer
47,Mercat Boqueria - Sant Josep,1984-12-28,Carrer la Rambla,89,el Raval,Ciutat Vella,1,Barcelona,41.38204889437501,2.17227075910574,934132303,https://www.boqueria.barcelona,Mercats municipals
48,Mercat Santa Caterina,1984-12-28,Av Francesc Cambó,16,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4,Barcelona,41.38639488164491,2.1781771121189712,934132298,https://www.mercatsantacaterina.com,Mercats municipals
49,Mercat Hostafrancs,1984-12-28,Carrer de la Creu Coberta,93,Hostafrancs,Sants-Montjuïc,15,Barcelona,41.37516234439833,2.143853943380838,934132307,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-hostafrancs,Mercats municipals
50,Mercat Sants,1984-12-28,C Sant Jordi,6,Sants,Sants-Montjuïc,18,Barcelona,41.37474144032811,2.133754628418325,932694472,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-sants,Mercats municipals
51,Mercat Marina,1984-12-28,Passeig de la Zona Franca,178,la Marina de Port,Sants-Montjuïc,13,Barcelona,41.36038025969584,2.1391929530213143,934132308,https://ajuntament.barcelona.cat/mercats/es/mercado/mercat-marina,Mercats municipals
